Episode,Reward
1540,1.0
1541,-1
1542,0.5
1543,-1
1544,3.2
1545,1.0
1546,-1
1547,1
1548,-1
1549,-1
1550,-1
1551,-1
1552,-1
1553,-1
1554,-1
1555,3.2
1556,0.25
1557,-1
1558,3.25
1559,-1
1560,-1
1561,0.25
1562,-1
1563,-1
1564,0.16666666666666674
1565,3.142857142857143
1566,-1
1567,0.33333333333333326
1568,-1
1569,-1
1570,-1
1571,0.19999999999999996
1572,1
1573,0.5
1574,3.166666666666667
1575,0.33333333333333326
1576,-1
1577,0.19999999999999996
1578,0.25
1579,-1
1580,2.5
1581,1
1582,-1
1583,-1
1584,2.75
1585,-1
1586,-1
1587,0.19999999999999996
1588,-1
1589,-1
1590,-1
1591,-1
1592,-1
1593,-1
1594,-1
1595,-1
1596,-1
1597,-1
1598,-1
1599,-1
1600,-1
1601,0.5
1602,-1
1603,0.11111111111111116
1604,1.0
1605,-1
1606,1.0
1607,2.6
1608,-1
1609,0.5
1610,-1
1611,0.125
1612,-1
1613,-1
1614,2.75
1615,-1
1616,-1
1617,0.19999999999999996
1618,3.142857142857143
1619,-1
1620,-1
1621,-1
1622,-1
1623,-1
1624,-1
1625,1
1626,3.5
1627,0.25
1628,3.166666666666667
1629,3.333333333333333
1630,2.4444444444444446
1631,2.833333333333333
1632,0.1428571428571428
1633,-1
1634,-1
1635,-1
1636,-1
1637,-1
1638,0.16666666666666674
1639,-1
1640,1
1641,-1
1642,0.5
1643,-1
1644,3.5
1645,-1
1646,1.0
1647,-1
1648,0.11111111111111116
1649,-1
1650,-1
1651,0.5
1652,-1
1653,-1
1654,2.833333333333333
1655,-1
1656,-1
1657,0.33333333333333326
1658,-1
1659,-1
1660,-1
1661,3.0
1662,1
1663,1.0
1664,2.533333333333333
1665,-1
1666,-1
1667,2.458333333333333
1668,-1
1669,-1
1670,0.11111111111111116
1671,-1
1672,-1
1673,-1
1674,0.10000000000000009
1675,-1
1676,-1
1677,0.5
1678,-1
1679,3.333333333333333
1680,1
1681,-1
1682,0.33333333333333326
1683,-1
1684,-1
1685,0.09090909090909083
1686,-1
1687,3.333333333333333
1688,-1
1689,-1
1690,-1
1691,-1
1692,0.19999999999999996
1693,-1
1694,-1
1695,0.16666666666666674
1696,-1
1697,-1
1698,-1
1699,-1
1700,-1
1701,-1
1702,-1
1703,-1
1704,3.166666666666667
1705,-1
1706,3.166666666666667
1707,4
1708,1.0
1709,-1
1710,-1
1711,2.6666666666666665
1712,-1
1713,2.375
1714,0.5
1715,-1
1716,1
1717,-1
1718,1
1719,-1
1720,3.1
1721,-1
1722,0.1428571428571428
1723,-1
1724,-1
1725,0.10000000000000009
1726,-1
1727,-1
1728,1
1729,-1
1730,-1
1731,-1
1732,-1
1733,-1
1734,0.125
1735,-1
1736,3.333333333333333
1737,0.33333333333333326
1738,-1
1739,-1
1740,0.19999999999999996
1741,4.0
1742,0.25
1743,0.16666666666666674
1744,4
1745,-1
1746,-1
1747,0.16666666666666674
1748,-1
1749,-1
1750,-1
1751,-1
1752,2.3666666666666667
1753,0.25
1754,-1
1755,-1
1756,1
1757,-1
1758,-1
1759,-1
1760,-1
1761,0.33333333333333326
1762,-1
1763,2.424242424242424
1764,-1
1765,1.0
1766,0.16666666666666674
1767,-1
1768,-1
1769,-1
1770,-1
1771,0.11111111111111116
1772,-1
1773,1
1774,0.25
1775,0.19999999999999996
1776,-1
1777,-1
1778,0.5
1779,-1
1780,-1
1781,1
1782,-1
1783,-1
1784,-1
1785,-1
1786,-1
1787,0.33333333333333326
1788,0.09090909090909083
1789,-1
1790,-1
1791,-1
1792,-1
1793,-1
1794,-1
1795,-1
1796,-1
1797,4
1798,-1
1799,-1
1800,-1
1801,-1
1802,-1
1803,-1
1804,-1
1805,1
1806,-1
1807,0.1428571428571428
1808,-1
1809,-1
1810,3.2
1811,-1
1812,0.33333333333333326
1813,-1
1814,0.19999999999999996
1815,-1
1816,-1
1817,-1
1818,-1
1819,-1
1820,-1
1821,-1
1822,-1
1823,2.75
1824,-1
1825,-1
1826,-1
1827,-1
1828,0.16666666666666674
1829,0.25
1830,0.125
1831,-1
1832,-1
1833,-1
1834,0.19999999999999996
1835,-1
1836,-1
1837,0.5
1838,-1
1839,-1
1840,-1
1841,4.0
1842,-1
1843,-1
1844,-1
1845,1.0
1846,-1
1847,-1
1848,-1
1849,-1
1850,0.5
1851,-1
1852,0.19999999999999996
1853,0.125
1854,-1
1855,-1
1856,1.0
1857,2.533333333333333
1858,-1
1859,-1
1860,0.5
1861,-1
1862,1.0
1863,-1
1864,1
1865,-1
1866,-1
1867,-1
1868,-1
1869,-1
1870,-1
1871,0.25
1872,-1
1873,-1
1874,3.166666666666667
1875,-1
1876,-1
1877,-1
1878,-1
1879,0.16666666666666674
1880,-1
1881,-1
1882,3.25
1883,-1
1884,-1
1885,-1
1886,-1
1887,1
1888,-1
1889,0.1428571428571428
1890,-1
1891,-1
1892,-1
1893,0.11111111111111116
1894,-1
1895,0.19999999999999996
1896,3.125
1897,-1
1898,-1
1899,-1
1900,-1
1901,-1
1902,4.0
1903,0.11111111111111116
1904,0.33333333333333326
1905,-1
1906,0.5
1907,-1
1908,4
1909,1.0
1910,-1
1911,1
1912,-1
1913,-1
1914,0.5
1915,1.0
1916,0.10000000000000009
1917,0.5
1918,-1
1919,-1
1920,-1
1921,-1
1922,1.0
1923,-1
1924,1
1925,-1
1926,-1
1927,-1
1928,-1
1929,-1
1930,-1
1931,-1
1932,-1
1933,0.33333333333333326
1934,1.0
1935,-1
1936,-1
1937,-1
1938,2.833333333333333
1939,-1
1940,-1
1941,-1
1942,1
1943,0.16666666666666674
1944,-1
1945,-1
1946,-1
1947,-1
1948,-1
1949,-1
1950,-1
1951,-1
1952,-1
1953,-1
1954,2.625
1955,-1
1956,0.33333333333333326
1957,4.0
1958,3.111111111111111
1959,4.0
1960,3.2
1961,3.5
1962,-1
1963,-1
1964,-1
1965,3.25
1966,-1
1967,3.333333333333333
1968,0.125
1969,0.19999999999999996
1970,0.1428571428571428
1971,-1
1972,-1
1973,-1
1974,1.0
1975,-1
1976,-1
1977,-1
1978,1.0
1979,0.25
1980,-1
1981,-1
1982,2.625
1983,0.19999999999999996
1984,3.0
1985,-1
1986,-1
1987,-1
1988,-1
1989,-1
1990,1
1991,-1
1992,2.45
1993,1
1994,-1
1995,-1
1996,3.166666666666667
1997,0.33333333333333326
1998,-1
1999,-1
2000,0.1428571428571428
2001,3.25
2002,0.25
2003,0.19999999999999996
2004,0.16666666666666674
2005,-1
2006,-1
2007,-1
2008,-1
2009,-1
2010,-1
2011,3.25
2012,-1
2013,3.2
2014,-1
2015,-1
2016,-1
2017,-1
2018,-1
2019,-1
2020,-1
2021,-1
2022,-1
2023,-1
2024,1
2025,2.75
2026,-1
2027,-1
2028,-1
2029,0.25
2030,-1
2031,2.3095238095238093
2032,-1
2033,0.19999999999999996
2034,-1
2035,-1
2036,-1
2037,-1
2038,-1
2039,4.0
2040,0.07692307692307687
2041,-1
2042,-1
2043,-1
2044,0.125
2045,1
2046,-1
2047,3.142857142857143
2048,3.5
2049,2.590909090909091
2050,3.2
2051,-1
2052,0.5
2053,-1
2054,0.5
2055,3.2
2056,-1
2057,-1
2058,1
2059,1
2060,-1
2061,0.33333333333333326
2062,-1
2063,-1
2064,-1
2065,-1
2066,-1
2067,-1
2068,-1
2069,1.0
2070,-1
2071,0.33333333333333326
2072,3.333333333333333
2073,-1
2074,-1
2075,0.125
2076,-1
2077,-1
2078,-1
2079,-1
2080,-1
2081,-1
2082,1.0
2083,0.5
2084,1
2085,-1
2086,-1
2087,-1
2088,0.5
2089,-1
2090,0.5
2091,-1
2092,1
2093,-1
2094,0.5
2095,-1
2096,-1
2097,4
2098,1
2099,-1
2100,-1
2101,-1
2102,-1
2103,1
2104,-1
2105,-1
2106,-1
2107,-1
2108,-1
2109,1
2110,3.5
2111,3.333333333333333
2112,-1
2113,0.16666666666666674
2114,-1
2115,0.25
2116,3.142857142857143
2117,-1
2118,-1
2119,-1
2120,-1
2121,2.215909090909091
2122,-1
2123,2.625
2124,0.33333333333333326
2125,-1
2126,1
2127,-1
2128,-1
2129,1.0
2130,1.0
2131,-1
2132,-1
2133,-1
2134,0.5
2135,1
2136,-1
2137,0.1428571428571428
2138,1
2139,-1
2140,0.5
2141,-1
2142,0.16666666666666674
2143,-1
2144,-1
2145,-1
2146,-1
2147,-1
2148,-1
2149,1
2150,4
2151,-1
2152,-1
2153,-1
2154,1.0
2155,-1
2156,-1
2157,-1
2158,4.0
2159,3.25
2160,0.33333333333333326
2161,3.5
