episode,attacker_reward,defender_reward,epsilon,hack_probability
439,-1.0,1,0.11130363979080501,0
440,-1.0,1,0.11074712159185099,0
441,-1.0,1,0.11019338598389174,0
442,0.10000000000000009,1,0.10964241905397228,0
443,-1.0,1,0.10909420695870241,0
444,-1.0,1,0.1085487359239089,0
445,1.0,1,0.10800599224428936,0
446,0.07692307692307687,1,0.10746596228306791,0
447,3.5,-2,0.10692863247165257,0
448,-1.0,1,0.1063939893092943,0
449,-1.0,1,0.10586201936274783,0
450,-1.0,1,0.10533270926593409,0
451,-1.0,1,0.10480604571960442,0
452,-1.0,1,0.1042820154910064,0
453,2.642857142857143,-2,0.10376060541355137,0
454,-1.0,1,0.1032418023864836,0
455,-1.0,1,0.10272559337455119,0
456,-1.0,1,0.10221196540767843,0
457,-1.0,1,0.10170090558064004,0
458,-1.0,1,0.10119240105273684,0
459,-1.0,1,0.10068643904747315,0
460,-1.0,1,0.10018300685223579,0
461,0.1428571428571428,1,0.0996820918179746,0
462,0.5,1,0.09918368135888474,0
463,0.25,1,0.09868776295209031,0
464,-1.0,1,0.09819432413732986,0
465,-1.0,1,0.09770335251664321,0
466,0.19999999999999996,1,0.09721483575406,0
467,0.5,1,0.09672876157528969,0
468,-1.0,1,0.09624511776741324,0
469,-1.0,1,0.09576389217857617,0
470,-1.0,1,0.09528507271768329,0
471,-1.0,1,0.09480864735409487,0
472,0.25,1,0.0943346041173244,0
473,0.25,1,0.09386293109673778,0
474,-1.0,1,0.09339361644125409,0
475,1.0,1,0.09292664835904782,0
476,-1.0,1,0.09246201511725258,0
477,-1.0,1,0.09199970504166631,0
478,-1.0,1,0.09153970651645797,0
479,1.0,1,0.09108200798387568,0
480,0.5,1,0.0906265979439563,0
481,0.5,1,0.09017346495423652,0
482,-1.0,1,0.08972259762946533,0
483,2.3095238095238093,-2,0.089273984641318,0
484,0.19999999999999996,1,0.0888276147181114,0
485,3.142857142857143,-2,0.08838347664452084,0
486,-1.0,1,0.08794155926129824,0
487,-1.0,1,0.08750185146499175,0
488,-1.0,1,0.08706434220766679,0
489,0.125,1,0.08662902049662846,0
490,-1.0,1,0.08619587539414532,0
491,-1.0,1,0.08576489601717459,0
492,-1.0,1,0.08533607153708872,0
493,-1.0,1,0.08490939117940327,0
494,-1.0,1,0.08448484422350626,0
495,-1.0,1,0.08406242000238873,0
496,-1.0,1,0.08364210790237678,0
497,-1.0,1,0.0832238973628649,0
498,-1.0,1,0.08280777787605056,0
499,-1.0,1,0.08239373898667031,0
500,-1.0,1,0.08198177029173696,0
501,2.375,-2,0.08157186144027828,0
502,1.0,1,0.0811640021330769,0
503,-1.0,1,0.08075818212241151,0
504,4.0,-2,0.08035439121179945,0
505,-1.0,1,0.07995261925574046,0
506,2.340909090909091,-2,0.07955285615946175,0
507,0.5,1,0.07915509187866444,0
508,-1.0,1,0.07875931641927113,0
509,1.0,1,0.07836551983717477,0
510,-1.0,1,0.07797369223798889,0
511,0.33333333333333326,1,0.07758382377679894,0
512,-1.0,1,0.07719590465791494,0
513,1.0,1,0.07680992513462537,0
514,-1.0,1,0.07642587550895225,0
515,-1.0,1,0.07604374613140748,0
516,-1.0,1,0.07566352740075044,0
517,-1.0,1,0.07528520976374668,0
518,-1.0,1,0.07490878371492794,0
519,-1.0,1,0.0745342397963533,0
520,-1.0,1,0.07416156859737154,0
521,-1.0,1,0.07379076075438468,0
522,2.6666666666666665,-2,0.07342180695061275,0
523,-1.0,1,0.07305469791585968,0
524,0.125,1,0.07268942442628039,0
525,-1.0,1,0.07232597730414898,0
526,0.16666666666666674,1,0.07196434741762824,0
527,-1.0,1,0.0716045256805401,0
528,1.0,1,0.0712465030521374,0
529,-1.0,1,0.0708902705368767,0
530,4.0,-2,0.07053581918419231,0
531,-1.0,1,0.07018314008827135,0
532,-1.0,1,0.06983222438783,0
533,-1.0,1,0.06948306326589085,0
534,-1.0,1,0.0691356479495614,0
535,-1.0,1,0.06878996970981359,0
536,-1.0,1,0.06844601986126451,0
537,-1.0,1,0.06810378976195819,0
538,1.0,1,0.0677632708131484,0
539,-1.0,1,0.06742445445908266,0
540,-1.0,1,0.06708733218678724,0
541,-1.0,1,0.0667518955258533,0
542,3.142857142857143,-2,0.06641813604822402,0
543,-1.0,1,0.0660860453679829,0
544,-1.0,1,0.06575561514114299,0
545,-1.0,1,0.06542683706543727,0
546,3.25,-2,0.06509970288011008,0
547,-1.0,1,0.06477420436570952,0
548,-1.0,1,0.06445033334388098,0
549,-1.0,1,0.06412808167716157,0
550,2.833333333333333,-2,0.06380744126877576,0
551,4.0,-2,0.06348840406243188,0
552,0.5,1,0.06317096204211972,0
553,-1.0,1,0.06285510723190912,0
554,-1.0,1,0.06254083169574957,0
555,-1.0,1,0.062228127537270826,0
556,-1.0,1,0.06191698689958447,0
557,-1.0,1,0.061607401965086545,0
558,0.19999999999999996,1,0.06129936495526111,0
559,4.0,-2,0.0609928681304848,0
560,-1.0,1,0.060687903789832374,0
561,-1.0,1,0.06038446427088321,0
562,0.125,1,0.06008254194952879,0
563,-1.0,1,0.05978212923978115,0
564,-1.0,1,0.05948321859358224,0
565,2.833333333333333,-2,0.05918580250061433,0
